,year featured,track_name,track_popularity,release_date,playlist_id,playlist_name,lead_artist,supporting_artists
7vFv0yFGMJW3qVXbAd9BK9,2021,Your Body Is a Wonderland,75,2001-08-16,37i9dQZF1DXaz7CcPuNVXF,No Stress!,John Mayer,
24YvUQnuPL8gObCfSnAobH,2021,"Hey, Soul Sister",0,2009-10-27,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Train,
3rKYiySCDMUKTw5kGVVhaa,2021,Marvin Gaye (feat. Meghan Trainor),67,2016-01-29,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Charlie Puth,"Meghan Trainor, "
0ULAOsJR33XQzlZVZvjGpB,2021,Don't Dream It's Over,0,2009-02-03,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Sixpence None The Richer,
0IktbUcnAGrvD03AWnz3Q8,2021,Lucky,76,2008-05-12,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Jason Mraz,"Colbie Caillat, "
7BqBn9nzAq8spo5e7cZ0dJ,2021,Just the Way You Are,81,2010-10-05,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Bruno Mars,
0jdeV5dSB3kUBRqe1xQJbh,2021,True,65,2004-06-08,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Ryan Cabrera,
75fuzn623bYyKISKlFHdCw,2021,Kiss Me,0,2009-02-03,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Sixpence None The Richer,
1FHNctV68GUNLgXclG2DtR,2021,Dancing in the Moonlight,68,2009-04-22,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Toploader,
2qXKFmKjFzhSGG7kPzoK8n,2021,Beautiful Soul,0,2004-01-01,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Jesse McCartney,
1x8AFBt9UEMRY41fSxi7aA,2021,Good Life,0,2009-01-01,37i9dQZF1DXaz7CcPuNVXF,No Stress!,OneRepublic,
4w7RuuQAVP0JXlAom3z1aC,2021,Wonderwall,0,2006-11-20,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Oasis,
3AJwUDP919kvQ9QcozQPxg,2021,Yellow,87,2000-07-10,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Coldplay,
37f4ITSlgPX81ad2EvmVQr,2021,Fight Song,79,2016-01-01,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Rachel Platten,
7ulZJytSQ43kwDjT2AL0LZ,2021,A Thousand Miles,0,2011-01-01,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Vanessa Carlton,
2ENx9vLmbagrc0yDY1j0BN,2021,Uptown Girl - Radio Edit,0,2001-11-08,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Westlife,
1EzrEOXmMH3G43AXT1y7pA,2021,I'm Yours,81,2008-05-12,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Jason Mraz,
3CNqo3gYrfexdrtjFmC9he,2021,Where Is The Love?,70,2003,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Black Eyed Peas,
4T6HLdP6OcAtqC6tGnQelG,2021,Everything,71,2007-04-30,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Michael Bublé,
4T5cqerbDXueYSVfXkIITo,2021,Sunday Morning,0,2002-06-25,37i9dQZF1DXaz7CcPuNVXF,No Stress!,Maroon 5,
2QaK6dKbzBIL0dXA9tBG8d,2021,Lluvia - Mixed,33,2021-08-06,37i9dQZF1DX79UF7ALECl7,Coffee Club,Lucien (AR),
5cHIid97dONqhnYKUNr3PN,2021,Summer Of Love,43,2020-08-21,37i9dQZF1DX79UF7ALECl7,Coffee Club,Afterlife,
0GyEPB4AYdjbgD9Uk1pErp,2021,Guaraná,36,2021-05-30,37i9dQZF1DX79UF7ALECl7,Coffee Club,I Can East,
2IrCKtn2wDmvNRdeg1dcCY,2021,Slide Away,35,2021-07-02,37i9dQZF1DX79UF7ALECl7,Coffee Club,Luminous,"Sensemilio, "
2TXzAr3G4t3Ojh8udkFDiW,2021,One 4 the Dreamers,36,2020-02-28,37i9dQZF1DX79UF7ALECl7,Coffee Club,Makèz,
0wtbfeSIJC1Qnno11Nm1U6,2021,Back To The Roots Of Love - Saib Remix,37,2020-04-17,37i9dQZF1DX79UF7ALECl7,Coffee Club,NTEIBINT,"Matina Sous Peau, Saib, "
1cHbVpeG4rcAcEYXKXQx9k,2021,Animal,36,2019-06-28,37i9dQZF1DX79UF7ALECl7,Coffee Club,Rasmus Faber,"Magic Woman, "
7FQvqvCcAYh6ACzXZAzaZj,2021,Parrot Fever,0,2019-05-03,37i9dQZF1DX79UF7ALECl7,Coffee Club,Kazam,
5szQlAGGlrjROjPenORcVx,2021,Nobody Else - Edit,34,2021-05-21,37i9dQZF1DX79UF7ALECl7,Coffee Club,Clancy,
